Time[s],Error[code],Description
-163,168,Error Code: 168
-150.4,168,Error Code: 168
-150.3,168,Error Code: 168
-150.1,168,Error Code: 168
-150,168,Error Code: 168
-141.7,168,Error Code: 168
-141.3,197,Error Code: 197
-119.4,197,Error Code: 197
-110.9,168,Error Code: 168
-110.8,168,Error Code: 168
-109.2,122,Breath rejected; segment too short.
-107.6,56,Breathing less than valve trigger.
-86.3,197,Error Code: 197
-84.9,197,Error Code: 197
-83.9,168,Error Code: 168
-83.2,168,Error Code: 168
-83.1,168,Error Code: 168
-82.7,168,Error Code: 168
-78,168,Error Code: 168
-77.9,168,Error Code: 168
-76.5,168,Error Code: 168
-76.5,168,Error Code: 168
-76.5,168,Error Code: 168
-75.9,168,Error Code: 168
-57.8,190,Error Code: 190
-57.8,191,Error Code: 191
-56.2,168,Error Code: 168
-56,168,Error Code: 168
-56,168,Error Code: 168
-54.7,168,Error Code: 168
-54.6,168,Error Code: 168
-52,209,Error Code: 209
-51,197,Error Code: 197
-39.3,209,Error Code: 209
-37.8,197,Error Code: 197
-34,197,Error Code: 197
-20.6,209,Error Code: 209
-16.2,209,Error Code: 209
-1.7,209,Error Code: 209
-0.6,197,Error Code: 197
-0.6,209,Error Code: 209
-0.4,209,Error Code: 209
0,209,Error Code: 209
0,197,Error Code: 197
0,209,Error Code: 209
0,209,Error Code: 209
0.3,168,Error Code: 168
0.6,168,Error Code: 168
0.7,168,Error Code: 168
1.1,168,Error Code: 168
106.7,53,User piece too big.
151.1,53,User piece too big.
166.6,209,Error Code: 209
170.4,191,Error Code: 191
226.6,197,Error Code: 197
354.3,209,Error Code: 209
359.2,191,Error Code: 191
361.7,53,User piece too big.
361.7,197,Error Code: 197
508.8,197,Error Code: 197
511.5,197,Error Code: 197
514.3,53,User piece too big.
514.4,197,Error Code: 197
568,53,User piece too big.
580.3,197,Error Code: 197
